Plain Pug;Eupithecia simpliciata
Plain Wave;Idaea straminata
Plum Fruit Moth;Grapholita funebrana
Plum Tortrix;Hedya pruniana
Plumbeous Spruce Tortrix;Cymolomia hartigiana
Plumed Fan-foot;Pechipogo plumigeralis
Plumed Prominent;Ptilophora plumigera
Poplar Grey;Subacronicta megacephala
Poplar Hawk-moth;Laothoe populi
Poplar Kitten;Furcula bifida
Poplar Lutestring;Tethea or
Porter's Rustic;Athetis hospes
Portland Moth;Actebia praecox
Portland Ribbon Wave;Idaea degeneraria
Potato Tuber Moth;Phthorimaea operculella
Powdered Quaker;Orthosia gracilis
Powdered Rustic;Hoplodrina superstes
Pretty Chalk Carpet;Melanthia procellata
Pretty Marbled;Deltote deceptoria
Pretty Pinion;Perizoma blandiata
