"id" "species" "tot_photo" "nederNaam" "group" "family"
"207" "Ancylis myrtillana" "0" "bosbeshaakbladroller" "micro" "Tortricidae"
"208" "Ancylis obtusana" "0" "rossige haakbladroller" "micro" "Tortricidae"
"209" "Ancylis paludana" "0" "puntige haakbladroller" "micro" "Tortricidae"
"210" "Ancylis tineana" "0" "bruine haakbladroller" "micro" "Tortricidae"
"211" "Ancylis uncella" "0" "heidehaakbladroller" "micro" "Tortricidae"
"212" "Ancylis unculana" "0" "purperrode haakbladroller" "micro" "Tortricidae"
"213" "Ancylis unguicella" "0" "slanke haakbladroller" "micro" "Tortricidae"
"214" "Ancylis upupana" "0" "zwarte haakbladroller" "micro" "Tortricidae"
"215" "Ancylosis oblitella" "0" "levervlekmot" "micro" "Pyralidae"
"216" "Anerastia lotella" "0" "helmgrasmot" "micro" "Pyralidae"
"217" "Angerona prunaria" "468" "oranje iepentakvlinder" "macro" "Geometridae"
"218" "Anorthoa munda" "910" "dubbelstipvoorjaarsuil" "macro" "Noctuidae"
"219" "Anthophila fabriciana" "0" "brandnetelmot" "micro" "Choreutidae"
"220" "Anticlea derivata" "129" "getekende rozenspanner" "macro" "Geometridae"
"221" "Anticollix sparsata" "165" "wederikdwergspanner" "macro" "Geometridae"
"222" "Antigastra catalaunalis" "0" "sesammot" "micro" "Crambidae"
"223" "Antispila metallella" "0" "grote kornoeljegaatjesmaker" "micro" "Heliozelidae"
"224" "Antispila treitschkiella" "0" "kleine kornoeljegaatjesmaker" "micro" "Heliozelidae"
"225" "Antitype chi" "0" "chi-uil" "macro" "Noctuidae"
"226" "Apamea anceps" "219" "veldgrasuil" "macro" "Noctuidae"
"227" "Apamea aquila" "90" "pijpenstro-uil" "macro" "Noctuidae"
"228" "Apamea crenata" "953" "variabele grasuil" "macro" "Noctuidae"
"229" "Apamea epomidion" "24" "zwartrandgrasuil" "macro" "Noctuidae"
"230" "Apamea furva" "1" "schapengrasuil" "macro" "Noctuidae"
"231" "Apamea illyria" "0" "tweekleurige grasuil" "macro" "Noctuidae"
"232" "Apamea lateritia" "11" "steenrode grasuil" "macro" "Noctuidae"
"233" "Apamea lithoxylaea" "733" "bleke grasworteluil" "macro" "Noctuidae"
"234" "Apamea monoglypha" "967" "graswortelvlinder" "macro" "Noctuidae"
"235" "Apamea oblonga" "8" "zeeuwse grasworteluil" "macro" "Noctuidae"
"236" "Apamea remissa" "339" "grauwe grasuil" "macro" "Noctuidae"
"237" "Apamea scolopacina" "298" "bosgrasuil" "macro" "Noctuidae"
"238" "Apamea sordens" "901" "kweekgrasuil" "macro" "Noctuidae"
"239" "Apamea sublustris" "363" "okergele grasuil" "macro" "Noctuidae"
"240" "Apamea unanimis" "486" "rietgrasuil" "macro" "Noctuidae"
"241" "Apeira syringaria" "374" "seringenvlinder" "macro" "Geometridae"
"242" "Aphelia ferugana" "0" "wildemansmot" "micro" "Tortricidae"
"243" "Aphelia paleana" "0" "gele bladroller" "micro" "Tortricidae"
"244" "Aphelia viburniana" "0" "oranjegele bladroller" "micro" "Tortricidae"
"245" "Aphomia sociella" "0" "hommelnestmot" "micro" "Pyralidae"
"246" "Aphomia zelleri" "0" "duinmosmot" "micro" "Pyralidae"
"247" "Aplasta ononaria" "6" "stalkruidspanner" "macro" "Geometridae"
"248" "Aplocera efformata" "582" "sint-janskruidblokspanner" "macro" "Geometridae"
"249" "Aplocera plagiata" "182" "streepblokspanner" "macro" "Geometridae"
"250" "Aplota palpella" "0" "langsnoetmot" "micro" "Oecophoridae"
"251" "Apocheima hispidaria" "811" "voorjaarsspanner" "macro" "Geometridae"
"252" "Apoda limacodes" "910" "slakrups" "macro" "Limacodidae"
"253" "Apodia bifractella" "0" "heelblaadjespalpmot" "micro" "Gelechiidae"
"254" "Apomyelois bistriatella" "0" "koolzwammot" "micro" "Pyralidae"
"255" "Apomyelois ceratoniae" "0" "johannesbroodmot" "micro" "Pyralidae"
"256" "Aporophyla australis" "264" "geveerde witvleugeluil" "macro" "Noctuidae"
"257" "Aporophyla lueneburgensis" "35" "heidewitvleugeluil" "macro" "Noctuidae"
"258" "Aporophyla lutulenta" "238" "bruine witvleugeluil" "macro" "Noctuidae"
"259" "Aporophyla nigra" "118" "zwarte witvleugeluil" "macro" "Noctuidae"
"260" "Apotomis betuletana" "0" "berkenmarmerbladroller" "micro" "Tortricidae"
"261" "Apotomis capreana" "0" "wilgenmarmerbladroller" "micro" "Tortricidae"
"262" "Apotomis infida" "0" "noordse marmerbladroller" "micro" "Tortricidae"
"263" "Apotomis lineana" "0" "bruine marmerbladroller" "micro" "Tortricidae"
"264" "Apotomis sauciana" "0" "donkere marmerbladroller" "micro" "Tortricidae"
"265" "Apotomis semifasciana" "0" "grijze marmerbladroller" "micro" "Tortricidae"
"266" "Apotomis sororculana" "0" "variabele marmerbladroller" "micro" "Tortricidae"
"267" "Apotomis turbidana" "0" "zwartwitte marmerbladroller" "micro" "Tortricidae"
"268" "Aproaerema albipalpella" "0" "zuidelijke bandpalpmot" "micro" "Gelechiidae"
"269" "Aproaerema anthyllidella" "0" "wondklaverpalpmot" "micro" "Gelechiidae"
"270" "Aproaerema captivella" "0" "grote bandpalpmot" "micro" "Gelechiidae"
"271" "Aproaerema cinctella" "0" "vale bandpalpmot" "micro" "Gelechiidae"
"272" "Aproaerema larseniella" "0" "bandpalpmot" "micro" "Gelechiidae"
"273" "Aproaerema taeniolella" "0" "brede bandpalpmot" "micro" "Gelechiidae"
"274" "Aproaerema vinella" "0" "fraaie bandpalpmot" "micro" "Gelechiidae"
"275" "Apterogenum ypsillon" "906" "wilgenschorsvlinder" "macro" "Noctuidae"
"276" "Apterona helicoidella" "0" "slakkenhuiszakdrager" "micro" "Psychidae"
"277" "Archanara dissoluta" "156" "geelbruine rietboorder" "macro" "Noctuidae"
"278" "Archanara neurica" "59" "witkraagrietboorder" "macro" "Noctuidae"
"279" "Archiearis parthenias" "679" "oranje berkenspanner" "macro" "Geometridae"
"280" "Archips betulana" "0" "berkenbladroller" "micro" "Tortricidae"
"281" "Archips crataegana" "0" "meidoornbladroller" "micro" "Tortricidae"
"282" "Archips oporana" "0" "fraaie dennenbladroller" "micro" "Tortricidae"
"283" "Archips podana" "0" "grote appelbladroller" "micro" "Tortricidae"
"284" "Archips rosana" "0" "heggenbladroller" "micro" "Tortricidae"
"285" "Archips xylosteana" "0" "gevlamde bladroller" "micro" "Tortricidae"
"286" "Arctia caja" "912" "grote beer" "macro" "Erebidae"
"287" "Arctia festiva" "0" "engelse beer" "macro" "Erebidae"
"288" "Arctia villica" "56" "roomvlek" "macro" "Erebidae"
"289" "Arctornis l-nigrum" "76" "zwarte-l-vlinder" "macro" "Erebidae"
"290" "Arenostola phragmitidis" "974" "egale rietboorder" "macro" "Noctuidae"
"291" "Argolamprotes micella" "0" "frambozenpalpmot" "micro" "Gelechiidae"
"292" "Argyresthia abdominalis" "0" "oranje vlekpedaalmot" "micro" "Argyresthiidae"
"293" "Argyresthia albistria" "0" "sleedoornpedaalmot" "micro" "Argyresthiidae"
"294" "Argyresthia arceuthina" "0" "goudglanzende pedaalmot" "micro" "Argyresthiidae"
"295" "Argyresthia aurulentella" "0" "gestreepte pedaalmot" "micro" "Argyresthiidae"
"296" "Argyresthia bergiella" "0" "donkere sparpedaalmot" "micro" "Argyresthiidae"
"297" "Argyresthia bonnetella" "0" "variabele pedaalmot" "micro" "Argyresthiidae"
"298" "Argyresthia brockeella" "0" "sierlijke pedaalmot" "micro" "Argyresthiidae"
"299" "Argyresthia buvati" "0" "geen Nederlandse naam" "micro" "Argyresthiidae"
"300" "Argyresthia conjugella" "0" "grote pedaalmot" "micro" "Argyresthiidae"
"301" "Argyresthia curvella" "0" "appelpedaalmot" "micro" "Argyresthiidae"
"302" "Argyresthia dilectella" "0" "wimpelpedaalmot" "micro" "Argyresthiidae"
"303" "Argyresthia fundella" "0" "grofgevlekte pedaalmot" "micro" "Argyresthiidae"
"304" "Argyresthia glabratella" "0" "fijnsparpedaalmot" "micro" "Argyresthiidae"
"305" "Argyresthia glaucinella" "0" "schorspedaalmot" "micro" "Argyresthiidae"
"306" "Argyresthia goedartella" "0" "berkenpedaalmot" "micro" "Argyresthiidae"
"307" "Argyresthia illuminatella" "0" "zilversparpedaalmot" "micro" "Argyresthiidae"
"308" "Argyresthia laevigatella" "0" "larikspedaalmot" "micro" "Argyresthiidae"
"309" "Argyresthia praecocella" "0" "zilverpedaalmot" "micro" "Argyresthiidae"
"310" "Argyresthia pruniella" "0" "kersenpedaalmot" "micro" "Argyresthiidae"
"311" "Argyresthia pulchella" "0" "kastanjekleurige pedaalmot" "micro" "Argyresthiidae"
"312" "Argyresthia pygmaeella" "0" "vale pedaalmot" "micro" "Argyresthiidae"
"313" "Argyresthia reticulata" "0" "zuidelijke pedaalmot" "micro" "Argyresthiidae"
"314" "Argyresthia retinella" "0" "gevlekte pedaalmot" "micro" "Argyresthiidae"
"315" "Argyresthia semifusca" "0" "okerbruine pedaalmot" "micro" "Argyresthiidae"
"316" "Argyresthia semitestacella" "0" "beukenpedaalmot" "micro" "Argyresthiidae"
"317" "Argyresthia sorbiella" "0" "bessenpedaalmot" "micro" "Argyresthiidae"
"318" "Argyresthia spinosella" "0" "bloesempedaalmot" "micro" "Argyresthiidae"
"319" "Argyresthia thuiella" "0" "thujamineermot" "micro" "Argyresthiidae"
"320" "Argyresthia trifasciata" "0" "cipresmineermot" "micro" "Argyresthiidae"
"321" "Argyroploce arbutella" "0" "kardinaalsbladroller" "micro" "Tortricidae"
"322" "Argyroploce externa" "0" "eierdopmot" "micro" "Tortricidae"
