species, gbif_key
Coleophora salicorniae, 5121040
Coleophora salinella, 5121030
Coleophora saponariella, 5120901
Coleophora saturatella, 5120786
Coleophora saxicolella, 5120707
Coleophora serpylletorum, 5121544
Coleophora serratella, 5121517
Coleophora siccifolia, 5121324
Coleophora solitariella, 5121351
Coleophora spinella, 6097239
Coleophora spiraeella, 5121010
Coleophora squalorella, 5120865
Coleophora sternipennella, 5120684
Coleophora striatipennella, 5120488
Coleophora sylvaticella, 5121483
Coleophora taeniipennella, 5121379
Coleophora tamesis, 5121327
Coleophora tanaceti, 5120971
Coleophora therinella, 5121013
Coleophora trifariella, 5120608
Coleophora trifolii, 5120577
Coleophora trigeminella, 5120533
Coleophora trochilella, 5121807
Coleophora vacciniella, 5121304
Coleophora versurella, 5121029
Coleophora vestianella, 5120800
Coleophora vibicella, 8390512
Coleophora violacea, 6097244
Coleophora vitisella, 5121824
Coleophora zelleriella, 5121530
Commophila aeneana, 8021674
Coptotriche angusticollella, 1939435
Coptotriche heinemanni, 1939428
Coptotriche marginea, 4525189
Corcyra cephalonica, 1876941
Cosmardia moritzella, 1848657
Cosmopterix lienigiella, 4529771
Cosmopterix orichalcea, 4529758
Cosmopterix pulchrimella, 4301036
Cosmopterix scribaiella, 1842542
Cosmopterix zieglerella, 1842485
Crambus ericella, 1880094
Crambus hamella, 1880062
Crambus lathoniellus, 1880140
Crambus pascuella, 1880064
Crambus perlella, 1879970
Crambus pratella, 1880139
Crambus silvella, 1880104
Crambus uliginosellus, 1880143
Crassa tinctella, 4528692
Crassa unitella, 4528694
Crassicornella agenjoi, 1855452
Crocidosema plebejana, 1736623
Crombrugghia distans, 1860063
Crombrugghia laetus, 1860072
Cryptoblabes bistriga, 1873048
Cryptoblabes gnidiella, 1873051
Cydalima perspectalis, 4532122
Cydia amplana, 8186212
Cydia conicolana, 1737783
Cydia coniferana, 1737770
Cydia cosmophorana, 1737966
Cydia deshaisiana, 1737888
Cydia duplicana, 1737963
Cydia fagiglandana, 1737776
Cydia grunertiana, 1737808
Cydia illutana, 1737761
Cydia indivisa, 1737862
Cydia inquinatana, 1737924
Cydia interscindana, 1737850
Cydia microgrammana, 4530033
Cydia nigricana, 1737753
Cydia pactolana, 1737816
Cydia pomonella, 1737847
Cydia servillana, 1737811
Cydia splendana, 1737775
Cydia strobilella, 4530002
Cydia succedana, 1737893
Cydia zebeana, 1737804
Cymolomia hartigiana, 1738050
Cynaeda dentalis, 1883386
Dactylotula kinkerella, 1849041
Dahlica lichenella, 1853749
Dahlica sauteri, 1853775
Dahlica triquetrella, 1853733
Dasycera oliviella, 1835031
Dasystoma salicella, 5880147
Delplanqueia dilutella, 4531318
Denisia albimaculea, 5770924
Denisia augustella, 5770928
Denisia similella, 5770942
Denisia stipella, 5770922
Depressaria albipunctella, 1837390
Depressaria badiella, 7958169
Depressaria beckmanni, 1837384
Depressaria chaerophylli, 1837410
Depressaria daucella, 9116315
Depressaria depressana, 1837420
Depressaria discipunctella, 1837391
Depressaria douglasella, 1837430
Depressaria emeritella, 1837515
Depressaria olerella, 1837343
Depressaria pimpinellae, 1837449
Depressaria pulcherrimella, 100450749
Depressaria radiella, 4529064
Depressaria sordidatella, 1837464
Depressaria ultimella, 1837418
Dialectica imperialella, 1750317
Diasemia reticularis, 1887701
Diasemiopsis ramburialis, 1883067
Dichelia histrionana, 5104641
Dichomeris alacella, 1847296
Dichomeris derasella, 4528547
Dichomeris marginella, 1847407
Dichomeris ustalella, 1847097
Dichrorampha acuminatana, 1738839
Dichrorampha aeratana, 1738829
Dichrorampha agilana, 1738819
Dichrorampha alpinana, 1738722
Dichrorampha consortana, 1738798
Dichrorampha flavidorsana, 1738739
Dichrorampha obscuratana, 1738771
Dichrorampha petiverella, 1738700
Dichrorampha plumbagana, 1738818
Dichrorampha plumbana, 1738777
Dichrorampha sedatana, 1738790
Dichrorampha simpliciana, 1738687
Dichrorampha sylvicolana, 1738732
Dichrorampha vancouverana, 1738794
Digitivalva arnicella, 1829583
Digitivalva perlepidella, 4525319
Digitivalva pulicariae, 1829479
Digitivalva valeriella, 1829525
Dioryctria abietella, 1877368
Dioryctria schuetzeella, 4531246
Dioryctria simplicella, 1877341
Dioryctria sylvestrella, 1877310
Diplodoma laichartingella, 4526050
